period_days,duration_hr,depth_pct,snr,st_tmag,st_teff,st_logg,st_rad,pl_rade,dur_frac,label_binary
2.1713484,2.0172196,0.06568860989,0.0,,,,,,0.038709042117177815,0.0
1.9316462,3.166,0.1286,0.0,,,,,,0.06829235429690315,1.0
1.8675574,1.408,0.15,0.0,,,,,,0.03141358154060843,0.0
2.74323,3.167,0.038341,0.0,,,,,,0.04810326998951358,0.0
3.5730141,3.37,0.0755,0.0,,,,,,0.039299219856609766,0.0
4.5505945,2.654,0.3731,0.0,,,,,,0.024300854170445932,0.0
2.5047918,4.3797563,0.22705402194,0.0,,,,,,0.07285629321899463,0.0
6.9989206,3.953,0.284,0.0,,,,,,0.02353339075361611,1.0
2.0483755,2.767,0.0483,0.0,,,,,,0.056284439384608274,0.0
1.9600277,2.0065257,0.17076272693,0.0,,,,,,0.04265513058820546,1.0
1.4303699,1.6165994,1.89607122944,0.0,,,,,,0.04709153089234703,1.0
0.6808702,2.4634563,0.15078006889,0.0,,,,,,0.1507541562253716,0.0
2.4704981,2.191,0.025,0.0,,,,,,0.03695273704791219,1.0
5.4255548,3.9637474,1.49396342222,0.0,,,,,,0.03044041535930421,0.0
1.4095184,0.9484999,0.28415103258,0.0,,,,,,0.02803853370531854,0.0
1.3730466,2.5708515,0.1301506533799999,0.0,,,,,,0.0780154238756354,0.0
12.6889415,7.9201001,0.3232852788499999,0.0,,,,,,0.026007226121527418,0.0
1.10422,2.37,1.41777,0.0,,,,,,0.08942964264367607,0.0
4.95912,2.509,0.744,0.0,,,,,,0.02108068904698145,0.0
5.2341008,3.7078139,2.07969416293,0.0,,,,,,0.029516482722941318,1.0
4.4119378,3.65,1.5062,0.0,,,,,,0.03447086976913712,1.0
3.28892,3.793,1.05189,0.0,,,,,,0.048052754906372515,0.0
1.90879,1.909,0.0618482,0.0,,,,,,0.04167125072253452,0.0
1.3214483,3.435,0.218,0.0,,,,,,0.1083091937838204,0.0
18.0157,2.524,0.061,0.0,,,,,,0.0058375009945029425,0.0
9.6837921,2.4006056,0.42382399008,0.0,,,,,,0.010329138864240315,1.0
14.2628757,6.9350494,0.09132067174,0.0,,,,,,0.020259616485802136,0.0
3.2834565,1.537,0.1558,0.0,,,,,,0.019504344481696856,1.0
11.02875,2.715,0.1694,0.0,,,,,,0.010257282103592882,1.0
5.0113292,1.024,0.121,0.0,,,,,,0.00851404187668746,1.0
1.01606,2.843,0.024,0.0,,,,,,0.11658596277122743,0.0
36.22214,5.107,0.717,0.0,,,,,,0.005874629899466642,0.0
3.547854,3.494333,1.04243718,0.0,,,,,,0.0410381059461109,1.0
12.1246519,4.612,0.7279,0.0,,,,,,0.015849252271454218,0.0
5.652623,3.434,0.125,0.0,,,,,,0.02531273239579808,0.0
5.6643704,3.8087395,0.34918232968,0.0,,,,,,0.028016790562754627,1.0
29.0160175,5.345,0.1389,0.0,,,,,,0.007675358388977168,0.0
3.6404389,2.5339234,0.04763077321,0.0,,,,,,0.02900203644859049,0.0
6.0744477,2.4954821,0.5982521240600001,0.0,,,,,,0.017117345636761892,1.0
